Fund LEI,Fund Name,Investment Manager,Max Derivative Limit / Use,Leverage Method,Redemption Frequency,Prospectus Download Link
549300BQ53XVHVU5ZP56,BlackRock Funds - Developed World Index SUB-Fund,BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/efficient management (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
549300FN14KM6YLSYR30,BlackRock Funds - Japan Flexible Equity Fund,BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/EPM (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
5493009N2R13J2KPV655,BlackRock Funds - Pacific ex Japan Equity Index Fund (UK),BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/EPM (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
549300F4VK4Q6WF1LSR5,BlackRock Funds - Emerging Markets Equity Index Fund (UK),BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/EPM (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
5493003BX6MHES7H6H90,BlackRock Tactical Opportunities Collective Non-Lendable Fund,BlackRock Institutional Trust Company NA,Not public; policies set by fund trust documentation,Custom/Trust rules,Per trust document,(Not public; available to plan/trust clients)
549300A21IXOYXELBSZ7,ISHARES MSCI JAPAN FLEXIBLE EQUITY INDEX FUND,BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/efficient management (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
549300A16IY9HIBLL163,BLACKROCK FUNDS V - BlackRock Global Equity Market Neutral Fund,BlackRock Advisors LLC,Subject to U.S. SEC VaR risk-based regulation (VaR ≤ 150% ref. index),Value-at-Risk (VaR),Daily (T+1/3 US),[BlackRock Funds V Prospectus]
MVRV21Q0EI2VDB7R6M49,BlackRock Strategic Income Opportunities Portfolio of BlackRock Funds V,BlackRock Advisors LLC,Subject to U.S. SEC VaR risk-based regulation (VaR ≤ 150% ref. index),Value-at-Risk (VaR),Daily (T+1/3 US),[BlackRock Funds V Prospectus]
5493004VX6R9ZRXV61A3,BlackRock Funds F-5 Fund,BlackRock Advisors LLC,"No public prospectus; if 1940 Act, VaR/derivative rule applies as above",Value-at-Risk/Commitment,Daily,(Not public)
549300A8WQZDMPWMHB63,BlackRock Funds - Asian Tiger Bond Fund,BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/efficient management (UCITS/UK),Commitment approach,Daily (T+2/3),[BlackRock Investment Funds Prospectus]
549300GSYE67NLX30T26,iShares Global Corporate Bond EUR Hedged UCITS ETF (ISCRPH),BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/efficient management (UCITS/UK),Commitment approach,Daily (T+2),[BlackRock Investment Funds Prospectus]
549300A18YOXYELBSZ07,iShares Global Clean Energy UCITS ETF,BlackRock Advisors (UK) Limited,Up to 100% NAV for hedging/efficient management (UCITS/UK),Commitment approach,Daily (T+2),[BlackRock Investment Funds Prospectus]
549300A18YOXYELBSZ07,ISHARES GLOBAL CLEAN ENERGY UCITS ETF,BlackRock Advisors (UK) Limited,"Up to 100% of NAV, for EPM and replication (UCITS standard)",Commitment approach,"Daily (T+2, UCITS)",https://www.blackrock.com/uk/literature/prospectus/blackrock-investment-funds-prospectus.pdf
